data source name,accession number,protocol,modality,species,tissue,batch_num,Original Paper link
Stephenson et al.,E-MTAB-10026,CITE-seq,RNA+ADT,Human,PBMC,2,https://www.nature.com/articles/s41591-021-01329-2#Sec61
Ramaswamy et al.,GSE166489,CITE-seq,RNA+ADT,Human,PBMC,3,https://www.cell.com/immunity/fulltext/S1074-7613(21)00165-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1074761321001655%3Fshowall%3Dtrue
Hao et al.,GSE164378,CITE-seq,RNA+ADT,Human,PBMC,2,https://www.cell.com/cell/fulltext/S0092-8674(21)00583-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867421005833%3Fshowall%3Dtrue
Luecken et al.,GSE194122,CITE-seq,RNA+ADT,Human,BMMC,12,https://openreview.net/forum?id=gN35BGa1Rt
Stuart et al.,GSE128639,CITE-seq,RNA+ADT,Human,BMMC,2,https://www.cell.com/cell/fulltext/S0092-8674(19)30559-8
Buus et al.,None,CITE-seq,RNA+ADT,Human,PBMC&Lung,2,https://elifesciences.org/articles/61973
Ma et al.,GSE140203,SHARE-seq,RNA+ATAC,Mouse,Skin,1,https://www.sciencedirect.com/science/article/pii/S0092867420312538
Chen et al.,GSE126074,SNARE-seq,RNA+ATAC,Mouse,Brain,2,https://www.nature.com/articles/s41587-019-0290-0
Luecken et al.,GSE194122,10x multiome,RNA+ATAC,Human,BMMC,13,https://openreview.net/forum?id=gN35BGa1Rt
Argelague et al.,GSE205117,10x multiome,RNA+ATAC,Mouse,Embryo,9,https://www.biorxiv.org/content/10.1101/2022.06.15.496239v2
10x genomics,None,10x multiome,RNA+ATAC,Human,PBMC,1,https://www.10xgenomics.com/resources/datasets/pbmc-from-a-healthy-donor-granulocytes-removed-through-cell-sorting-10-k-1-standard-1-0-0
Zhu et al.,GSE204684,10x multiome,RNA+ATAC,Human,neocortex,12,https://www.science.org/doi/epdf/10.1126/sciadv.adg3754
Mimitou et al.,GSE156478,ASAP-seq,ATAC+ADT,Human,PBMC,2,https://www.nature.com/articles/s41587-021-00927-2
Mimitou et al.,GSE156478,DOGMA-seq,RNA+ATAC+ADT,Human,PBMC,2,https://www.nature.com/articles/s41587-021-00927-2
Swanson et al.,GSE158013,TEA-seq,RNA+ATAC+ADT,Human,PBMC,3,https://elifesciences.org/articles/63632
Ji et al.,GSE144240,Visium,Spatial+RNA,Mouse,squamous cell carcinoma,12,https://www.sciencedirect.com/science/article/pii/S0092867420306723
Maynard et al.,None,Visium,Spatial+RNA,Human,dorsolateral prefrontal cortex,12,https://www.nature.com/articles/s41593-020-00787-0
10x genomics,None,Xenium,Spatial+RNA,Human,Breast cancer tumor,2,https://www.nature.com/articles/s41467-023-43458-x
Wang et al.,None,Stereo-seq,Spatial+RNA,Drosophila,embryos,4,https://www.sciencedirect.com/science/article/pii/S1534580722002465
Allen et al.,GSE207848,MERFISH,Spatial+RNA,Mouse,Brian,8,https://www.cell.com/cell/fulltext/S0092-8674(22)01523-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867422015239%3Fshowall%3Dtrue
Zhang et al.,GSE205055,Spatial ATACâ€“RNA-seq,Spatial+RNA+ATAC,"Human,Mouse","Mouse: E13 and P21, P22 brain",2,https://www.nature.com/articles/s41586-023-05795-1
